request_id,customer_id,request_type,request_date,response_date,status
R0197,C000221,delete,2026-01-27,2026-04-12,completed
R0198,C009508,delete,2025-05-19,2025-06-26,completed
R0199,C033353,access,2025-08-17,2025-09-29,completed
R0200,C031876,portability,2025-04-18,2025-04-25,pending
R0201,C016284,delete,2025-06-25,2025-07-30,completed
R0202,C016304,access,2025-08-30,2025-09-08,completed
R0203,C012431,appeal,2025-04-30,2025-05-12,completed
R0204,C029562,appeal,2025-08-18,2025-10-01,completed
R0205,C031497,delete,2025-08-15,2025-09-22,completed
R0206,C005252,appeal,2025-07-21,2025-09-20,completed
R0207,C002934,portability,2025-05-02,2025-06-29,completed
R0208,C025158,delete,2026-02-09,2026-02-25,completed
R0209,C003975,opt-out,2025-06-24,2025-08-01,completed
R0210,C004862,correct,2025-10-27,2025-11-04,completed
R0211,C025667,opt-out,2026-01-23,2026-02-11,completed
R0212,C003182,delete,2025-07-29,2025-08-03,completed
R0213,C032639,delete,2026-02-24,2026-03-26,completed
R0214,C011542,opt-out,2025-05-17,2025-06-05,completed
R0215,C024653,portability,2026-02-21,2026-03-11,completed
R0216,C001767,access,2025-11-28,2026-04-03,completed
R0217,C020347,delete,2025-06-14,2025-07-04,pending
R0218,C000300,appeal,2026-03-30,2026-04-08,completed
R0219,C021134,portability,2026-03-17,2026-04-02,completed
R0220,C009404,delete,2025-05-23,2025-08-12,completed
R0221,C011047,opt-out,2025-11-23,2025-12-07,completed
R0222,C035593,correct,2025-05-19,2025-06-21,completed
R0223,C027705,appeal,2025-09-29,2025-10-14,pending
R0224,C009671,portability,2025-11-20,2025-12-18,completed
R0225,C008181,access,2025-05-05,2025-06-17,completed
R0226,C018179,portability,2025-11-27,2025-12-31,completed
R0227,C003086,portability,2025-09-20,2025-10-03,completed
R0228,C022224,opt-out,2026-03-29,2026-04-03,completed
R0229,C007127,portability,2025-09-11,2025-09-15,completed
R0230,C033286,portability,2026-02-13,2026-03-16,completed
R0231,C029987,opt-out,2025-05-02,2025-05-04,completed
R0232,C012383,portability,2026-03-14,2026-04-06,completed
R0233,C010576,portability,2025-10-20,2025-11-20,completed
R0234,C004041,opt-out,2026-01-16,2026-01-20,completed
R0235,C008833,appeal,2025-05-26,2025-08-04,completed
R0236,C021358,portability,2025-11-21,2025-11-28,completed
R0237,C025070,portability,2025-10-04,2025-10-08,completed
R0238,C010581,delete,2025-04-09,2025-05-20,completed
R0239,C012210,appeal,2025-07-20,2025-09-01,completed
R0240,C024877,opt-out,2025-05-21,2025-07-27,completed
R0241,C028769,portability,2026-02-18,2026-03-14,completed
R0242,C032752,correct,2025-08-31,2025-09-19,completed
R0243,C025862,opt-out,2025-09-21,2025-10-06,completed
R0244,C028516,correct,2025-06-02,2025-09-28,completed
R0245,C008020,portability,2026-01-19,2026-03-20,completed
R0246,C030637,appeal,2025-10-04,2025-10-18,completed
R0247,C009081,portability,2026-03-20,2026-06-13,completed
R0248,C010137,correct,2025-12-18,2026-01-30,completed
R0249,C023777,correct,2025-06-13,2025-07-04,completed
R0250,C004577,appeal,2025-06-21,2025-07-26,completed
R0251,C016167,access,2026-03-03,2026-03-04,completed
R0252,C017831,opt-out,2025-09-26,2025-10-24,completed
R0253,C014612,delete,2025-12-27,2026-01-29,completed
R0254,C018228,correct,2025-05-21,2025-06-06,completed
R0255,C002833,access,2026-01-21,2026-02-09,completed
R0256,C015390,correct,2025-11-29,2026-01-03,completed
R0257,C017101,appeal,2026-02-25,2026-04-08,completed
R0258,C018810,correct,2025-09-18,2025-09-30,completed
R0259,C032155,portability,2025-12-22,2026-01-13,pending
R0260,C002949,opt-out,2026-01-21,2026-02-24,completed
R0261,C031939,portability,2025-07-17,2025-08-30,completed
R0262,C010331,delete,2025-10-29,2025-12-09,pending
R0263,C010298,appeal,2025-09-22,2025-10-26,completed
R0264,C007431,delete,2025-06-22,2025-07-04,completed
R0265,C035556,delete,2025-12-26,2026-02-21,completed
R0266,C031551,portability,2025-04-16,2025-05-05,completed
R0267,C021508,opt-out,2025-11-27,2025-12-15,completed
R0268,C026007,delete,2025-09-10,2025-09-13,completed
R0269,C012732,delete,2025-07-17,2025-08-17,completed
R0270,C010116,correct,2025-11-26,2025-12-20,completed
R0271,C035037,correct,2025-09-28,2025-10-25,completed
R0272,C024195,opt-out,2025-04-30,2025-07-10,completed
R0273,C035053,delete,2025-09-09,2026-01-05,completed
R0274,C032993,access,2025-04-02,2025-04-08,completed
R0275,C024481,access,2026-03-11,2026-04-08,completed
R0276,C002742,opt-out,2025-11-30,2025-12-19,completed
R0277,C024016,opt-out,2025-04-05,2025-06-27,completed
R0278,C012426,access,2026-01-30,2026-02-13,pending
R0279,C016561,correct,2025-11-11,2025-11-18,completed
R0280,C024881,portability,2025-12-30,2026-01-27,pending
R0281,C032373,delete,2026-01-03,2026-01-14,completed
R0282,C022893,portability,2025-04-11,2025-05-18,completed
R0283,C005512,delete,2026-01-09,2026-01-26,completed
R0284,C034024,correct,2025-04-14,2025-05-08,completed
R0285,C019716,correct,2025-09-30,2025-11-10,completed
R0286,C012659,appeal,2026-01-28,2026-03-17,completed
R0287,C014509,correct,2025-04-29,2025-06-03,completed
R0288,C007453,correct,2026-02-13,2026-02-18,completed
R0289,C025403,correct,2025-10-26,2026-03-25,completed
R0290,C008244,access,2026-03-23,2026-04-16,completed
R0291,C008404,opt-out,2025-07-07,2025-08-13,completed
R0292,C000636,correct,2025-05-20,2025-05-22,completed
R0293,C033367,correct,2026-02-24,2026-03-10,completed
R0294,C014089,access,2025-08-02,2025-12-30,completed
R0295,C033752,appeal,2025-12-26,2026-01-09,completed
R0296,C016738,access,2025-11-24,2025-12-15,completed
R0297,C008524,delete,2025-09-23,2025-09-29,completed
R0298,C010744,portability,2025-06-20,2025-07-20,completed
R0299,C005221,correct,2026-03-19,2026-04-23,completed
R0300,C011608,delete,2025-05-11,2025-05-14,completed
R0301,C024701,appeal,2026-01-12,2026-01-29,completed
R0302,C006672,appeal,2025-08-05,2025-09-02,completed
R0303,C018119,appeal,2026-01-02,2026-03-27,completed
R0304,C020220,opt-out,2025-12-29,2026-01-11,completed
R0305,C024779,portability,2026-03-14,2026-04-07,completed
R0306,C025571,delete,2025-11-02,2026-02-17,completed
R0307,C006990,access,2025-04-26,2025-05-31,completed
R0308,C014834,delete,2025-11-02,2025-11-14,completed
R0309,C014925,delete,2025-11-04,2025-12-11,completed
R0310,C015846,delete,2025-07-19,2025-08-10,completed
R0311,C022611,correct,2026-01-06,2026-01-27,completed
R0312,C011271,access,2025-11-07,2025-11-19,completed
R0313,C032800,access,2025-08-06,2025-08-08,completed
R0314,C023277,correct,2025-09-21,2025-11-04,completed
R0315,C007967,appeal,2025-11-11,2025-12-05,completed
R0316,C032890,appeal,2026-01-15,2026-02-17,completed
R0317,C030758,correct,2025-05-01,2025-05-19,completed
R0318,C015085,opt-out,2025-09-20,2025-10-25,pending
R0319,C004339,portability,2026-01-29,2026-03-11,completed
R0320,C027450,appeal,2025-04-06,2025-04-18,completed
R0321,C007106,opt-out,2025-05-14,2025-06-07,completed
R0322,C035980,correct,2025-04-26,2025-05-21,completed
R0323,C004054,delete,2025-06-07,2025-07-18,completed
R0324,C031841,appeal,2026-03-03,2026-04-20,completed
R0325,C025118,opt-out,2025-10-08,2025-11-14,completed
R0326,C025642,delete,2025-04-10,2025-05-12,pending
R0327,C000987,access,2025-08-02,2025-08-06,completed
R0328,C035314,access,2025-08-09,2025-09-12,completed
R0329,C012031,opt-out,2025-10-30,2026-01-22,pending
R0330,C028430,correct,2025-07-15,2025-08-16,pending
R0331,C018871,delete,2026-02-20,2026-03-21,pending
R0332,C033600,delete,2025-05-30,2025-07-04,completed
R0333,C006322,correct,2025-10-06,2025-11-11,completed
R0334,C014959,correct,2025-11-10,2026-02-04,completed
R0335,C008588,opt-out,2025-09-30,2025-11-13,completed
R0336,C008767,correct,2025-12-19,2025-12-31,completed
R0337,C013094,delete,2025-04-14,2025-05-11,completed
R0338,C035379,correct,2026-01-27,2026-03-08,completed
R0339,C025506,opt-out,2025-05-24,2025-06-20,completed
R0340,C030174,opt-out,2025-09-19,2025-11-19,pending
R0341,C028524,access,2026-01-03,2026-01-26,completed
R0342,C028241,appeal,2025-08-27,2026-01-16,completed
R0343,C028093,portability,2025-10-02,2025-10-07,completed
R0344,C009417,appeal,2025-08-06,2025-08-29,completed
R0345,C009198,delete,2025-04-10,2025-05-17,completed
R0346,C012864,appeal,2025-06-15,2025-06-24,completed
R0347,C024796,correct,2025-06-05,2025-06-18,completed
R0348,C008974,appeal,2026-01-26,2026-02-20,completed
R0349,C020492,portability,2026-03-11,2026-03-13,completed
R0350,C013828,appeal,2026-01-13,2026-04-10,completed
R0351,C023949,portability,2025-10-17,2025-11-11,pending
R0352,C018007,portability,2026-02-07,2026-02-09,completed
R0353,C013492,access,2025-12-22,2026-01-18,completed
R0354,C015076,opt-out,2025-12-18,2026-03-07,pending
R0355,C017727,correct,2025-04-30,2025-06-19,completed
R0356,C003214,opt-out,2025-06-23,2025-07-17,completed
R0357,C026586,portability,2025-06-09,2025-06-15,completed
R0358,C021050,delete,2025-07-27,2025-08-03,completed
R0359,C007953,access,2025-06-22,2025-07-06,pending
R0360,C021666,delete,2026-01-06,2026-03-25,completed
R0361,C005054,access,2025-04-19,2025-06-01,completed
R0362,C002241,portability,2026-01-04,2026-01-12,completed
R0363,C009241,delete,2025-09-20,2025-10-31,completed
R0364,C006611,appeal,2025-10-19,2025-11-05,completed
R0365,C034120,delete,2025-04-03,2025-05-05,completed
R0366,C006811,delete,2025-07-08,2025-07-12,completed
R0367,C011286,portability,2025-06-20,2025-07-03,completed
R0368,C006688,delete,2025-04-14,2025-06-14,completed
R0369,C028775,delete,2025-10-15,2025-10-27,completed
R0370,C012820,correct,2025-10-01,2025-10-24,pending
R0371,C002457,delete,2025-08-28,2025-08-30,completed
R0372,C017067,delete,2025-08-07,2025-09-26,completed
R0373,C009544,delete,2026-03-10,2026-04-20,completed
R0374,C002086,access,2025-11-06,2025-12-20,completed
R0375,C015334,access,2025-09-03,2025-09-07,completed
R0376,C022248,appeal,2026-01-02,2026-01-05,completed
R0377,C024195,correct,2025-06-18,2025-07-06,completed
R0378,C004750,opt-out,2025-07-26,2025-08-15,pending
R0379,C030832,opt-out,2025-10-18,2025-11-08,completed
R0380,C024071,correct,2025-09-05,2025-10-04,completed
R0381,C027240,access,2025-09-29,2025-10-09,completed
R0382,C034180,access,2025-08-17,2025-09-08,completed
R0383,C032713,opt-out,2026-02-06,2026-03-19,completed
R0384,C012195,appeal,2025-06-06,2025-07-10,completed
R0385,C019706,delete,2025-08-11,2025-09-11,completed
R0386,C000256,access,2025-05-27,2025-08-26,completed
R0387,C019329,correct,2025-12-15,2026-01-18,completed
R0388,C034913,opt-out,2026-03-26,2026-04-23,completed
R0389,C007048,delete,2025-08-13,2025-09-25,completed
R0390,C027027,access,2025-11-27,2025-12-12,completed
R0391,C007806,correct,2025-10-12,2025-11-20,completed
R0392,C016892,appeal,2025-12-15,2025-12-18,completed
R0393,C029492,opt-out,2025-05-31,2025-06-25,completed
R0394,C021807,access,2025-05-19,2025-06-09,completed
R0395,C024165,access,2025-11-22,2025-12-15,completed
R0396,C007809,portability,2026-02-23,2026-05-07,completed
R0397,C020335,delete,2026-02-09,2026-03-24,completed
R0398,C001998,correct,2025-04-18,2025-05-20,completed
R0399,C028958,correct,2025-09-12,2025-12-25,completed
R0400,C026371,opt-out,2025-04-10,2025-05-02,completed
R0401,C031463,opt-out,2026-02-14,2026-03-03,completed
R0402,C034525,opt-out,2025-08-23,2025-12-20,completed
R0403,C018032,appeal,2025-11-01,2026-01-14,completed
R0404,C029368,delete,2025-11-09,2025-11-23,completed
R0405,C029515,access,2025-09-11,2025-09-17,completed
R0406,C000421,delete,2025-09-13,2025-10-16,pending
R0407,C031870,access,2025-06-19,2025-08-02,completed
R0408,C002967,delete,2025-11-12,2026-01-23,completed
R0409,C033807,opt-out,2025-04-10,2025-06-11,completed
R0410,C011151,access,2025-08-07,2025-10-26,completed
R0411,C010080,portability,2026-03-08,2026-03-27,completed
R0412,C018543,correct,2026-02-12,2026-03-16,completed
R0413,C003049,access,2025-05-08,2025-05-18,completed
R0414,C013679,appeal,2025-10-05,2025-11-05,pending
R0415,C017027,portability,2025-12-19,2026-03-06,completed
R0416,C002534,correct,2025-05-19,2025-05-31,completed
R0417,C028125,delete,2025-07-08,2025-07-30,completed
R0418,C028876,appeal,2026-02-14,2026-05-10,completed
R0419,C013330,delete,2025-04-25,2025-05-25,completed
R0420,C011177,portability,2025-10-30,2025-12-09,completed
R0421,C029810,opt-out,2025-09-24,2026-01-15,completed
R0422,C023013,opt-out,2025-10-30,2025-11-07,completed
R0423,C000511,access,2026-01-09,2026-01-24,completed
R0424,C004795,appeal,2026-01-27,2026-02-09,completed
R0425,C030906,access,2025-10-20,2025-11-12,completed
R0426,C026812,correct,2025-05-10,2025-06-15,completed
R0427,C028543,delete,2025-03-31,2025-04-28,completed
R0428,C031804,access,2025-06-25,2025-07-03,completed
R0429,C031523,portability,2026-03-23,2026-04-22,completed
R0430,C016193,delete,2026-03-25,2026-04-19,completed
R0431,C010640,delete,2025-07-28,2025-08-01,completed
R0432,C000579,opt-out,2025-10-30,2025-11-08,completed
R0433,C022230,opt-out,2026-03-01,2026-04-05,completed
R0434,C025505,correct,2025-11-25,2026-01-06,completed
R0435,C025101,correct,2025-08-27,2025-10-10,completed
R0436,C011692,portability,2025-11-23,2025-12-18,completed
R0437,C021369,delete,2025-06-06,2025-07-05,completed
R0438,C015668,access,2025-10-11,2025-11-05,completed
R0439,C035587,opt-out,2026-01-01,2026-02-08,completed
R0440,C035804,opt-out,2025-06-04,2025-06-08,completed
R0441,C017756,delete,2025-05-10,2025-06-16,completed
R0442,C019007,appeal,2025-06-08,2025-07-17,completed
R0443,C012920,access,2025-12-12,2025-12-16,completed
R0444,C033196,appeal,2026-01-22,2026-02-01,completed
R0445,C021159,delete,2026-01-20,2026-02-06,completed
R0446,C026774,delete,2026-03-25,2026-04-12,completed
R0447,C003549,appeal,2025-11-16,2026-02-12,completed
R0448,C027250,delete,2025-08-17,2025-09-30,completed
R0449,C005028,access,2025-08-31,2025-10-14,pending
R0450,C022063,correct,2025-09-06,2025-11-23,completed
R0451,C023228,opt-out,2025-05-25,2025-06-03,completed
R0452,C022328,portability,2026-03-29,2026-05-07,completed
R0453,C028025,opt-out,2025-06-26,2025-11-07,completed
R0454,C000250,opt-out,2025-05-05,2025-05-18,completed
R0455,C008696,access,2025-12-14,2025-12-18,completed
R0456,C025308,correct,2025-09-09,2025-12-06,completed
R0457,C027496,delete,2026-01-04,2026-01-25,completed
R0458,C009591,delete,2025-08-28,2025-08-30,completed
R0459,C020583,portability,2025-06-04,2025-06-20,completed
R0460,C019762,portability,2025-04-18,2025-05-20,completed
R0461,C011932,portability,2026-03-01,2026-03-11,completed
R0462,C028942,portability,2025-11-11,2025-12-22,completed
R0463,C017548,access,2025-04-16,2025-06-24,completed
R0464,C024186,appeal,2025-11-02,2025-11-09,completed
R0465,C013697,access,2025-09-03,2025-10-12,completed
R0466,C005062,portability,2025-08-28,2025-10-01,completed
R0467,C029828,correct,2026-02-18,2026-04-02,pending
R0468,C022259,opt-out,2025-05-15,2025-06-27,completed
R0469,C000456,delete,2025-12-10,2026-01-08,completed
R0470,C027340,correct,2025-10-25,2025-11-24,completed
R0471,C012882,correct,2025-08-28,2025-10-05,completed
R0472,C007330,portability,2025-04-08,2025-05-04,completed
R0473,C010133,portability,2025-11-01,2026-02-04,completed
R0474,C003299,correct,2025-08-16,2026-01-13,completed
R0475,C021455,opt-out,2025-05-13,2025-05-15,completed
R0476,C005388,portability,2025-07-12,2025-08-17,completed
R0477,C019191,appeal,2025-11-06,2025-11-16,completed
R0478,C034860,access,2025-09-15,2025-09-20,completed
R0479,C026360,correct,2026-02-21,2026-03-13,completed
R0480,C004580,correct,2026-03-25,2026-05-02,pending
R0481,C028615,delete,2026-03-04,2026-03-12,completed
R0482,C030081,appeal,2025-05-05,2025-05-12,completed
R0483,C018914,access,2025-09-09,2025-09-13,completed
R0484,C033816,appeal,2025-08-27,2025-10-03,completed
R0485,C001704,delete,2025-07-21,2025-08-29,completed
R0486,C021772,appeal,2025-07-15,2025-07-18,completed
R0487,C032090,correct,2026-01-17,2026-02-03,completed
R0488,C026942,appeal,2026-02-04,2026-03-05,completed
R0489,C021058,portability,2026-02-03,2026-02-12,completed
R0490,C026675,delete,2025-09-03,2025-09-18,completed
R0491,C023079,delete,2026-02-10,2026-03-15,completed
R0492,C000884,portability,2025-07-31,2025-11-19,completed
R0493,C023362,appeal,2025-08-08,2025-09-05,completed
